school_id,Potential_School_Name_transliterated,Assigned_District_Name
549,kAlikA prA vi,khota~na
550,shAnti ni mA viA vi,khota~na
551,nAmasAli~Na u mA vi,ilama
552,mAIpokharI saMskRRita mA vi,ilama
553,himAlaya mA vi,ilama
554,sarasvatI u mA vi,ilama
555,shAntipura mA vi,khota~na
556,tomAne prA vi,khota~na
557,gaNesha A vi,khota~na
558,sAjhA prA vi,khota~na
559,jana jAgRRiti prA vi,khota~na
560,pRRithvI mA vi,khota~na
561,dhArApAnI mA vi,khota~na
562,kuShmANDa A vi,okhaladhu~nga
563,devI A vi,khota~na
564,mAhA kalA prA vi,khota~na
565,lAmITAra A vi,ilama
566,paMchAyata rajata prA vi,khota~na
567,shAnti A vi,khota~na
568,dAmodara mahAsiMha prA vi,khota~na
569,janashrama prA vi,khota~na
570,dipaka janajyotI prA vi,khota~na
571,sarvodaya A vi,sunasari
572,rAShTriya prA vi,khota~na
573,sAvAkAlI mA vi,khota~na
574,gaNesha A vi,mora~na
575,jala kanyA A vi,khota~na
576,chandra prA vi,khota~na
577,bhimasena Adarsha A vi,udayapura
578,pa~nchakanyA prA vi,khota~na
579,shikShAdipa prA vi,khota~na
580,devI A vi,khota~na
581,jaleshvarI mA vi,khota~na
582,vAdala prA vi,khota~na
583,navajyotI prA vi,khota~na
584,sarasvatI mA vi,khota~na
585,janasevA prA vi,khota~na
586,chakalI devI A vi,khota~na
587,chautAre DAMDA prA vi,khota~na
588,vidyodaya prA vi,khota~na
589,pa~nchakanyA A vi,khota~na
590,sarasvatI A vi,khota~na
591,lakShmI A vi,khota~na
592,bhAnu A vi,khota~na
593,tribhuvana prA vi,khota~na
594,mahendrodaya ni mA viA vi,khota~na
595,chaNDeshvarI ni mA viA vi,khota~na
596,usunakoshI prA vi,khota~na
597,janajAgRRiti A vi,khota~na
598,janajAgRRitI A vi,khota~na
599,kRRiShNA ni mA viA vi,khota~na
600,sarasvatI prA vi,khota~na
601,shaMkheshvarI ni mA viA vi,khota~na
602,kAlikA mA vi,khota~na
603,janachetanA A vi,khota~na
604,shikhara prA vi,khota~na
605,paMcha mA vi,khota~na
606,pa~ncha mA vi,khota~na
607,jaleshvarI A vi,khota~na
608,paMcha prA vi,khota~na
609,shiddheshvarI A vi,nuvakota
610,khArtamChA prA vi,khota~na
611,vidyodaya prA vi,khota~na
612,janatA prA vi,khota~na
613,yuvAvarSha A vi,dailekha
614,pa~ncha mA vi,khota~na
615,mA vi,khota~na
616,siMha kAlI prA vi,khota~na
617,setI prA vi,khota~na
618,sapta kanyA prA vi,khota~na
619,lAla kanyA prA vi,khota~na
620,himAlaya A vi,khota~na
621,shivasthAna prA vi,khota~na
622,champAvatI u mA vi,khota~na
623,shiddheshvarI A vi,khota~na
624,lalita vikAsha ni mA viA vi,lalitapura
625,vahalA devI prA vi,khota~na
626,sarasvatI mA vi,khota~na
627,janajAgRRiti A vi,khota~na
628,kAlikA janajAgRRitI ni mA viA vi,khota~na
629,dAmlI mA vi,khota~na
630,janatA A vi,khota~na
631,TayalaprA vi,khota~na
632,jana jyoti prA vi,khota~na
633,devasthAna A vi,khota~na
634,bhAShA A vi,khota~na
635,champAvatI mA vi,khota~na
636,deurAlI mA vi,khota~na
637,champAkalI prA vi,khota~na
638,jAlapA A vi,khota~na
639,chandra prA vi,khota~na
640,siMha devI mA vi,khota~na
641,mAnu prA vi,khota~na
642,veganalAla A vi,mora~na
643,mahaMkalA A vi,khota~na
644,mAkpA mA vi,khota~na
645,lohandrA A vi,mora~na
646,sIgAnA mA vi,bagalu~na
647,janajAgRRitI mA vi,bagalu~na
648,janatA mA vi,bagalu~na
649,bhAnu mA vi,bagalu~na
650,pRRithvI u mA vi,bagalu~na
651,himAlaya daNDapANi nyaupAne mA vi,chitavana
652,janajyoti prA vi,bagalu~na
653,viShNu ni mA viA vi,bagalu~na
654,galkoTa mA vi,bagalu~na
655,dhana gaujyotI mA vi,bagalu~na
656,vAgishvarI ni mA viA vi,pyuthana
657,shiva mA vi,parvata
658,vidyAjyoti A vi,musta~na
659,namunA A vi,musta~na
660,tityA~Na ni mA viA vi,bagalu~na
661,lakShmI prA vi,bagalu~na
662,hari mA vi,bagalu~na
663,bhagavatI prA vi,bagalu~na
664,janajAgaraNa prA vi,bagalu~na
665,suryodaya umA vi,bagalu~na
666,janakalyANA mA vi,bagalu~na
667,janatA mA vi,bagalu~na
668,sigAnA mA vi,bagalu~na
669,mUlapAnI mA vi,bagalu~na
670,kAlikA kanyA mandira mA vi,bagalu~na
671,sAmdI prA vi,bagalu~na
672,suntalAchaura mA vi,bagalu~na
673,shivAlaya mA vi,bagalu~na
674,kAMkrAkhorA prA vi,bagalu~na
675,Aditya prA vi,bagalu~na
676,navayuvaka A vi,bagalu~na
677,lakShmInArAyaNa A vi,bagalu~na
678,kRRiShNa prA vi,bagalu~na
679,shivAlaya prA vi,bagalu~na
680,janapriya prA vi,bagalu~na
681,bAlamandira A vi,bagalu~na
682,nepAla ghartI prA vi,purva navalaparasi
683,bharatapapura prA vi,bagalu~na
684,chandAchandranagara prA vi,bagalu~na
685,upallAchaura A vi,bagalu~na
