school_id,school_1,school_id_B,name,district_id,district_id,Matched_District,root_school_name,School_name_transliterated,School_level,school_levels,School_name,Fuzzy_match_score,Match_Type
107,पारवती मावि तनहुँ,42990,parbati basic school,46,46,tanahun,parbati,paravati,मावि,avi,पारवती,2.5,"District: complete, School level: no match, Root name: complete"
106,कटका मावि याङपाङ भोजपुर,13082,kanaka basic school,1,12,bhojpur,kanaka,kataka,मावि,avi,कटका,2.0,"District: no match, School level: no match, Root name: complete"
108,ज्योति प्रावि भोजपुर,12911,jyoti pra v,1,1,bhojpur,jyoti,jyoti,प्रावि,pravi,ज्योति,3.0,"District: complete, School level: complete, Root name: complete"
109,सिंहदेवी मावि हलौछा भोजपुर,13670,mahadevi basic  school,1,1,bhojpur,mahadevi,simhadevi,मावि,avi,सिंहदेवी,2.5,"District: complete, School level: no match, Root name: complete"
111,आनन्द आवि रातामाटे मधुवन बर्दिया,1414,bal nanda basic school,58,8,bardiya,bal nanda,ananda,आवि,avi,आनन्द,2.5,"District: no match, School level: complete, Root name: complete"
110,लक्ष्मी मावि थुमपोखरा स्याङजा,418,adarsha ma v,45,45,syangja,adarsha ma vi,lakshmi,मावि,,लक्ष्मी,1.5,"District: complete, School level: no match, Root name: partial"
112,जयनेपाल प्रावि तनहुँ,41995,jaya nepal pra vi,46,46,tanahun,jaya nepal,jayanepala,प्रावि,pravi,जयनेपाल,3.0,"District: complete, School level: complete, Root name: complete"
113,राष्ट्रिय आवि तनहुँँ,43225,rastriya adharbhut vidyalaya,46,46,tanahun,rastriya,rashtriya,आवि,avi,राष्ट्रिय,3.0,"District: complete, School level: complete, Root name: complete"
114,शंकर मावि तनहुँँ,43595,shankar pra v,46,46,tanahun,shankar,shamkara,मावि,pravi,शंकर,2.5,"District: complete, School level: no match, Root name: complete"
115,जनक मावि गैंडाकोट व सु पूर्व नवलपरासी,52252,janaki basic school,48,48,nawalparasi,janaki,janaka,मावि,avi,जनक,2.5,"District: complete, School level: no match, Root name: complete"
116,सरस्वती आवि भानु न पा तनहुँँ,43400,saraswati adharbhut vidyalaya,46,46,tanahun,saraswati,sarasvati,आवि,avi,सरस्वती,3.0,"District: complete, School level: complete, Root name: complete"
117,जिवनज्याेति आवि भरतपुर चितवन,32822,janajati basic school,29,35,chitwan,janajati,jivanajyaeti,आवि,avi,जिवनज्याेति,2.5,"District: no match, School level: complete, Root name: complete"
119,महेन्द्र ज्योती मावि तनहुँँ,4842,chandra jyoti primary school,46,46,tanahun,chandra jyoti,mahendra jyoti,मावि,pravi,महेन्द्र ज्योती,2.5,"District: complete, School level: no match, Root name: complete"
118,दुर्गा शेषकान्त अधिकारी मावि विजयनगर चितवन,31762,"durga sheshkanta adhikari  ma vi,bharatpur-16",29,29,chitwan,durga sheshkanta adhikari ma vi bharatpur,durga sheshakanta adhikari,मावि,,दुर्गा शेषकान्त अधिकारी,1.5,"District: complete, School level: no match, Root name: partial"
121,गुदी फच्याङ आवि तनहुँँ,41385,gundi phachyang basic school,46,46,tanahun,gundi phachyang,gudi phachya~na,आवि,avi,गुदी फच्याङ,3.0,"District: complete, School level: complete, Root name: complete"
120,कृष्ण मावि घिरिङ तनहुँँ,42261,krishna pra v,46,46,tanahun,krishna,krrishna,मावि,pravi,कृष्ण,2.5,"District: complete, School level: no match, Root name: complete"
123,बाराही प्रावि ऋषिङ गा पा तनहुँँ,4397,barahi primary  school,46,46,tanahun,barahi,barahi,प्रावि,pravi,बाराही,3.0,"District: complete, School level: complete, Root name: complete"
122,माहेन्द्री मावि व्यास तनहुँँ,13711,mahendra  basic school,46,12,tanahun,mahendra,mahendri,मावि,avi,माहेन्द्री,2.0,"District: no match, School level: no match, Root name: complete"
125,कुस्मावती प्रावि तनहुँँ,42293,kushmawati basic school,46,46,tanahun,kushmawati,kusmavati,प्रावि,avi,कुस्मावती,2.5,"District: complete, School level: no match, Root name: complete"
124,दिपक मावि तनहुँ,41119,dipak basic school,46,36,tanahun,dipak,dipaka,मावि,avi,दिपक,2.0,"District: no match, School level: no match, Root name: complete"
126,कृष्ण गण्डकी प्रावि बेलस्वाँरा तनहुँँ,42255,krishna ganga adharbhut vidyalaya,46,46,tanahun,krishna ganga,krrishna gandaki,प्रावि,avi,कृष्ण गण्डकी,2.5,"District: complete, School level: no match, Root name: complete"
127,श्री आवि सिसावास पर्साबजार चितवन,3710,basic school sahapur,29,29,chitwan,sahapur,shri,आवि,avi,श्री,2.0,"District: complete, School level: complete, Root name: partial"
129,अरनिको मावि मिर्लुङ तनहुँँ,1217,araniko basic school,46,12,tanahun,araniko,araniko,मावि,avi,अरनिको,2.0,"District: no match, School level: no match, Root name: complete"
130,मुकुन्देश्वरी प्रावि तनहुँ,4796,chandeshwori pra v,46,46,tanahun,chandeshwori,mukundeshvari,प्रावि,pravi,मुकुन्देश्वरी,2.0,"District: complete, School level: complete, Root name: partial"
131,जनता प्रावि व्यास तनहुँ,1177,ananta pra v,46,6,tanahun,ananta,janata,प्रावि,pravi,जनता,2.5,"District: no match, School level: complete, Root name: complete"
132,नवदुर्गा मावि रामपुर पाल्पा,53862,navadurga pra v,52,52,palpa,navadurga,navadurga,मावि,pravi,नवदुर्गा,2.5,"District: complete, School level: no match, Root name: complete"
133,चन्द्रज्योती मावि तनहुँ,4842,chandra jyoti primary school,46,46,tanahun,chandra jyoti,chandrajyoti,मावि,pravi,चन्द्रज्योती,2.5,"District: complete, School level: no match, Root name: complete"
134,चन्द्र ज्योती मावि तनहुँँ,4839,chandra jyoti ma vi,46,46,tanahun,chandra jyoti ma vi,chandra jyoti,मावि,,चन्द्र ज्योती,2.5,"District: complete, School level: no match, Root name: complete"
