school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3
131,Adarsa Basic School,Sundarharaincha,11,419,Sundarharaincha Municipality,6,Morang,1,Koshi Province,Adarsa Pra V,,
132,Adarsha  Ma Vi,Jayapur,2,263,Buddhashanti Rural Municipality,4,Jhapa,1,Koshi Province,Adarsha Uchha Ma V,,
133,Adarsha  Madhyamik Vidhyalaya,Baklauri Bazaar,6,725,Ramdhuni Municipality,11,Sunsari,1,Koshi Province,Adarsha U Ma V,,
134,Adarsha  Secondary School,Punarbas,2,714,Barahkshetra Municipality,11,Sunsari,1,Koshi Province,Adarsha  Ma V,Adarsha Uchha Ma V,
135,Adarsha Adhar V,Santapur,6,263,Buddhashanti Rural Municipality,4,Jhapa,1,Koshi Province,Adarsha Pra V,,
136,Adarsha Adharbhoot Vidhyalaya,Amrang,5,626,Makalu Rural Municipality,9,Sankhuwasabha,1,Koshi Province,Adarsha Pra V,,
137,Adarsha adharbhut vidhyalaya,Apraha,8,772,Chaudandigadhi Municipality,14,Udayapur,1,Koshi Province,Adarsha Pra V Apraha,,
138,Adarsha Balika Secondary School,Gahaile Tole,7,406,Biratnagar Metropolitan City,6,Morang,1,Koshi Province,Adarsha Balika Ma V,,
139,Adarsha Basic,Thare,6,481,Khijidemba Rural Municipality,7,Okhaldhunga,1,Koshi Province,Adarsha Pra V,,
140,Adarsha Basic School,Soktim,9,246,Mai Municipality,3,Ilam,1,Koshi Province,Adarsha Adharbhut Bidhyalaya,Adarsha Pra V,
141,Adarsha Basic School,Chiyabari,7,245,Ilam Municipality,3,Ilam,1,Koshi Province,Adarsha Adhar V,,
142,Adarsha Basic School,Yang,10,251,Suryodaya Municipality,3,Ilam,1,Koshi Province,Adarsha Pra V,,
143,Adarsha Basic School,Yadav Tole,5,716,Bhokraha Narsing Rural Municipality,11,Sunsari,1,Koshi Province,Adarsha Aadharbhut Bidhyalaya,Adarsha Pra V,
144,Adarsha Basic School,Ramche,3,485,Siddhicharan Municipality,7,Okhaldhunga,1,Koshi Province,Adarsha Pra V,,
145,Adarsha Basic School,Sirijangha,2,763,Sirijangha Rural Municipality,12,Taplejung,1,Koshi Province,Adarsha Pra V,,
