school_id,school,school_1,School_level,School_name,Location,Matched_district,Match_percent,Location_1
87,"महेश्वरा प्राथमिक विद्यालय, निन्दाखु, साेयाक, इलाम",महेश्वरा प्रावि निन्दाखु साेयाक इलाम,प्रावि,महेश्वरा,निन्दाखु साेयाक इलाम,इलाम,100,निन्दाखु साेयाक
88,"बिक्री प्रा॰ बी ॰, इलाम",विक्री प्रावि इलाम,प्रावि,विक्री,इलाम,इलाम,100,
89,"भगवती माध्यमिक विद्यालय, गोलाखर्क, इलाम",भगवती मावि गोलाखर्क इलाम,मावि,भगवती,गोलाखर्क इलाम,इलाम,100,गोलाखर्क
90,"देउराली प्रा॰वि॰, जितपुर, इलाम",देउराली प्रावि जितपुर इलाम,प्रावि,देउराली,जितपुर इलाम,इलाम,100,जितपुर
91,"आदर्श प्रा॰वि॰, फिक्कल, इलाम",आदर्श प्रावि फिक्कल इलाम,प्रावि,आदर्श,फिक्कल इलाम,इलाम,100,फिक्कल
92,"आदर्श माध्यमिक विद्यालय, इलाम",आदर्श मावि इलाम,मावि,आदर्श,इलाम,इलाम,100,
93,"नेपालटार माध्यमिक विद्यालय साखेजुङ, इलाम",नेपालटार मावि साखेजुङ इलाम,मावि,नेपालटार,साखेजुङ इलाम,इलाम,100,साखेजुङ
94,"दृपादवी प्रा॰वि॰, इलाम",दृपादवी प्रावि इलाम,प्रावि,दृपादवी,इलाम,इलाम,100,
95,"पशुपति कन्या मन्दिर माध्यमिक विधालय, दोलखा",पशुपति कन्या मन्दिर मावि दोलखा,मावि,पशुपति कन्या मन्दिर,दोलखा,दोलखा,100,
96,"नव ज्योती आधारभूत विद्यालय, इलाम",नव ज्योती आवि इलाम,आवि,नव ज्योती,इलाम,इलाम,100,
97,"भगवती माध्यमिक विद्यालय, इलाम",भगवती मावि इलाम,मावि,भगवती,इलाम,इलाम,100,
98,भगवती उ॰ माध्यमिक विधालय धुसेनी-६ इलाम,भगवती मावि धुसेनी इलाम,मावि,भगवती,धुसेनी इलाम,इलाम,100,धुसेनी
99,"हिमाली माध्यमिक विद्यालय पृथ्वीनगर, झापा",हिमाली मावि पृथ्वीनगर झापा,मावि,हिमाली,पृथ्वीनगर झापा,झापा,100,पृथ्वीनगर
100,"महेन्द्र रत्न माध्यमिक विद्यालय, विर्तामोड, झापा",महेन्द्र रत्न मावि विर्तामोड झापा,मावि,महेन्द्र रत्न,विर्तामोड झापा,झापा,100,विर्तामोड
101,"कालीका मा बि, तनहु",कालीका मावि तनहुँ,मावि,कालीका,तनहुँ,तनहुँ,100,
102,"सिद्धमहाकाली माध्यमिक विद्यालय, तनहुँ",सिद्धमहाकाली मावि तनहुँँ,मावि,सिद्धमहाकाली,तनहुँ,तनहुँ,100,
103,"लक्ष्मी नारायण्ा प्रा वि, भोजपुर",लक्ष्मी नारायण्ा प्रावि भोजपुर,प्रावि,लक्ष्मी नारायण्ा,भोजपुर,भोजपुर,100,
104,"रचना प्रा वि, भोजपुर",रचना प्रावि भोजपुर,प्रावि,रचना,भोजपुर,भोजपुर,100,
105,जाल्पा प्राथमिक विधालय सानेदुम्मा भोजपुर,जाल्पा प्रावि सानेदुम्मा भोजपुर,प्रावि,जाल्पा,सानेदुम्मा भोजपुर,भोजपुर,100,सानेदुम्मा
106,कटका माध्यमिक विधालय याङपाङ भोजपुर,कटका मावि याङपाङ भोजपुर,मावि,कटका,याङपाङ भोजपुर,भोजपुर,100,याङपाङ
107,"पारवती मा बि, तनहु",पारवती मावि तनहुँ,मावि,पारवती,तनहुँ,तनहुँ,100,
108,"ज्योति प्रा वि, भोजपुर",ज्योति प्रावि भोजपुर,प्रावि,ज्योति,भोजपुर,भोजपुर,100,
109,सिंहदेवी माध्यमिक विधालय हलौछा भोजपुर ।,सिंहदेवी मावि हलौछा भोजपुर,मावि,सिंहदेवी,हलौछा भोजपुर,भोजपुर,100,हलौछा
110,"लक्ष्मी उ॰ माध्यमिक विधालय, थुमपोखरा स्याङजा",लक्ष्मी मावि थुमपोखरा स्याङजा,मावि,लक्ष्मी,थुमपोखरा स्याङजा,स्याङ्गजा,71,थुमपोखरा स्याङजा
111,"आनन्द आधारभूत विद्यालय रातामाटे, मधुवन, बर्दिया",आनन्द आवि रातामाटे मधुवन बर्दिया,आवि,आनन्द,रातामाटे मधुवन बर्दिया,बर्दिया,100,रातामाटे मधुवन
112,"जयनेपाल प्रा वि, तनहु",जयनेपाल प्रावि तनहुँ,प्रावि,जयनेपाल,तनहुँ,तनहुँ,100,
113,"राष्ट्रिय आधारभूत विद्यालय, तनहुँ",राष्ट्रिय आवि तनहुँँ,आवि,राष्ट्रिय,तनहुँ,तनहुँ,100,
114,"शंकर माध्यमिक विद्यालय, तनहुँ",शंकर मावि तनहुँँ,मावि,शंकर,तनहुँ,तनहुँ,100,
115,"जनक माध्यमिक विद्यालय गैंडाकोट, व॰सु॰पूर्व नवलपरासी",जनक मावि गैंडाकोट व सु पूर्व नवलपरासी,मावि,जनक,गैंडाकोट व सु पूर्व नवलपरासी,पूर्व नवलपरासी,100,गैंडाकोट व सु
