school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
1176,bhavani,mavi,doti,
1177,khaptada,avi,doti,
1178,bhavani ekavathara,pravi,doti,
1179,,avi,siraha,
1180,shri sichai,pravi,jhapa,
1181,mahendrodaya,nimavi,panchthar,
1182,mamgalamaya,nimavi,jhapa,
1183,pashupatinatha,pravi,jhapa,
1186,ra,pravi,chitwan,
1190,chapali,nimavi,doti,
1192,rashtriya,nimavi,dhanusha,
1193,janasahayoga,mavi,sunsari,
1196,digena,pravi,jhapa,
1198,chandeshvari,avi,taplejung,
1200,siddhakumari,nimavi,taplejung,
1201,j~nanodaya,pravi,sunsari,
1202,shri jyaeti,mavi,sunsari,
1204,timurakharka,pravi,gulmi,
1205,bagala gau,pravi,doti,
1206,shibashatti,pravi,doti,
1207,,mavi,dhanusha,
1212,mashteshvara,mavi,doti,
1216,bhairabamala,pravi,kailali,
1219,sarasvati,pravi,sarlahi,
1221,bhadagaum,nimavi,sunsari,
1223,bhrrikuti,pravi,jhapa,
1225,thotne,nimavi,taplejung,
1228,siddhababa,mavi,gulmi,
1241,svora,pravi,gulmi,
1246,dhauladau,pravi,bajhang,
1248,kali vana,pravi,bajhang,
1249,balavikasa,nimavi,bajhang,
1252,shramika bala vij~nana,nimavi,lalitpur,
1255,simheshvari,avi,taplejung,
1259,janasahayoga,mavi,gulmi,
1261,balamandira,pravi,bajhang,
1262,bartha pali,pravi,bara,
1266,lakshmi rashtiya,pravi,ilam,
1267,ra,pravi,chitwan,
1268,vi pi,pravi,sunsari,
1269,jasakhani,mavi,gulmi,
1271,gayatri,pravi,gulmi,
1275,valakumari,mavi,lalitpur,
1277,navanivana,pravi,kailali,
1279,valajyoti,pravi,gulmi,
1280,,avi,chitwan,
1281,dakshina kalika rashtiya,avi,myagdi,
1282,janajivna,mavi,myagdi,
1284,pamchakanya,nimavi,tehrathum,
1285,sahida smrriti,mavi,sunsari,
1286,shahida smrriti,avi,sunsari,
1294,pamcha ratna,pravi,panchthar,
1295,malika,nimavi,kailali,
1296,yuva varsha,pravi,parsa,
1299,mahonapala,pravi,kailali,
1300,rashtirraya,nimavi,kailali,
1303,ra,pravi,chitwan,
1305,ghorle,mavi,gulmi,
1307,siddhiganosha,pravi,bajhang,
1311,vishvanatha pra li bajha~na,,bajhang,
1314,balamukunda,nimavi,lalitpur,
1315,vidhadevi,pravi,gulmi,
1316,krrishna,pravi,bajhang,
1317,lakshmi,pravi,gulmi,
1318,sabaudaya,pravi,kailali,
1319,sarvajanika,mavi,mahottari,
1321,sauneyubha,pravi,gulmi,
1324,shri kailada,pravi,bajhang,
1325,balavikasa,pravi,bajhang,
1326,shri gochandeshvari,pravi,lalitpur,
1328,siddhashanti,avi,bajhang,
1330,padama pura,pravi,bajhang,
1331,maitivavana,pravi,bajhang,
1332,madanadeva,pravi,gulmi,
1334,bhumeshvari,nimavi,bajhang,
1335,chunidevi shikshamandira,nimavi,lalitpur,
1339,rashtriya,avi,mahottari,
1341,nepala,nimavi,nawalparasi,
1342,ra,pravi,chitwan,
1343,gu~njanagara,mavi,bhaktapur,
1344,ghari,nimavi,bajhang,
1346,badha bhairava,pravi,makwanpur,
1351,mahendra,pravi,bajhang,
1352,madana ashrita samjhana,avi,dadeldhura,
1353,purnima,pravi,gulmi,
1354,durga,pravi,bajhang,
1356,edeveshvari,nimavi,bajhang,
1359,vij~nana prabha,avi,lalitpur,
1362,baghabhairava,pravi,lalitpur,
1363,bashudevi,mavi,kailali,
1365,janata,mavi,kailali,
1366,vasudevi,mavi,kailali,
1367,ka ra la,mavi,kailali,
1368,sharada,mavi,kailali,
1369,j~nanodaya,avi,gulmi,
1370,satya,nimavi,bajhang,
1385,chidhipani,nimavi,gulmi,
1388,balaseva,pravi,kailali,
1389,navadurga,pravi,kailali,
1393,chapahile,mavi,gulmi,
1395,bhagavati,nimavi,jhapa,
1397,pata devi,pravi,bajhang,
