school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
26449,36624,mahakali,mahakali,mavi,mavi,rukum paschim,sindhuli,2.5,"District: no match, School level: complete, Root name: complete"
26448,2567,dipendra ne ra,binda basini  barbagog,avi,avi,kalikot,parsa,1.5,"District: no match, School level: complete, Root name: partial"
26450,72012,kalika devi,kalika devi,mavi,pravi,achham,achham,2.5,"District: complete, School level: no match, Root name: complete"
26452,122,junakiri sa,aruni ebs,pravi,,jhapa,jhapa,1.5,"District: complete, School level: no match, Root name: partial"
26453,36610,narmadeshvara,mandarmelchaur,mavi,mavi,ramechhap,ramechhap,2.0,"District: complete, School level: complete, Root name: partial"
26456,36964,siddha,siddha,pravi,pravi,surkhet,sindhuli,2.5,"District: no match, School level: complete, Root name: complete"
26459,13116,la.nkuri,kankai,avi,avi,syangja,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26460,1337,vidha vikasa,bal bikash,pravi,pravi,syangja,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
26462,13116,kha.ndadevi,kankai,avi,avi,ramechhap,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26465,22655,narayani,narayan,avi,mavi,bhaktapur,sarlahi,2.0,"District: no match, School level: no match, Root name: complete"
26463,11297,gorkhali,deurali,pravi,pravi,gorkha,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
26469,37,,,mavi,,ramechhap,ramechhap,2.5,"District: complete, School level: no match, Root name: complete"
26466,6470,virendra,birendra,avi,pravi,nawalparasi,jajarkot,2.0,"District: no match, School level: no match, Root name: complete"
26471,12358,jivanajyoti,jana jyoti,pravi,pravi,ilam,taplejung,2.5,"District: no match, School level: complete, Root name: complete"
26470,21383,punyalala madanalala shreshtha,janata banawali  barchhawa,mavi,mavi,siraha,siraha,2.0,"District: complete, School level: complete, Root name: partial"
26473,36635,mahendra ratna,mahendra pratap,mavi,mavi,jhapa,sindhupalchok,2.5,"District: no match, School level: complete, Root name: complete"
26476,16506,tutu~na,thul dhunga,avi,avi,nuwakot,solukhumbu,1.5,"District: no match, School level: complete, Root name: partial"
26478,62245,nepala rashtiya,nepal rastriya,pravi,pravi,banke,jajarkot,2.5,"District: no match, School level: complete, Root name: complete"
26477,3679,dudesillo,sunderbasti,nimavi,nimavi,kalikot,chitwan,1.5,"District: no match, School level: complete, Root name: partial"
26483,15911,adarsha,adarsha,mavi,mavi,parsa,morang,2.5,"District: no match, School level: complete, Root name: complete"
26481,11934,shri ja,him ganga,mavi,mavi,siraha,solukhumbu,1.5,"District: no match, School level: complete, Root name: partial"
26484,15452,sarasvati,saraswati,avi,avi,sarlahi,morang,2.5,"District: no match, School level: complete, Root name: complete"
26486,55266,adarsha,adarsha,avi,avi,salyan,arghakhanchi,2.5,"District: no match, School level: complete, Root name: complete"
26488,34941,pashupati,pashupati,avi,pravi,ramechhap,sindhuli,2.0,"District: no match, School level: no match, Root name: complete"
26489,12615,panini,janatani,mavi,mavi,dolakha,khotang,1.5,"District: no match, School level: complete, Root name: partial"
26491,54649,suntaladevi,rautadi,pravi,pravi,gulmi,gulmi,2.0,"District: complete, School level: complete, Root name: partial"
26495,73790,pamchakoti,sharswoti,pravi,pravi,achham,achham,2.0,"District: complete, School level: complete, Root name: partial"
26499,16465,malika devi,singha devi,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
26498,13226,bhisuna,kisan,avi,avi,ilam,morang,1.5,"District: no match, School level: complete, Root name: partial"
26501,16515,triveni,triveni,mavi,mavi,rukum purba,sankhuwasabha,2.5,"District: no match, School level: complete, Root name: complete"
26500,55483,janaseva,janasewa,mavi,pravi,bardiya,rolpa,2.0,"District: no match, School level: no match, Root name: complete"
26502,1333,bala vikasa,bal bikash,avi,avi,bara,morang,1.5,"District: no match, School level: complete, Root name: partial"
26507,61359,jana vikasa,janata,avi,avi,salyan,salyan,2.0,"District: complete, School level: complete, Root name: partial"
26508,12615,dabhu~nga tha.nti,janatani,mavi,mavi,syangja,khotang,1.5,"District: no match, School level: complete, Root name: partial"
