school_id,district,modified_name,modified_name_school_level,modified_name_root,modified_old_name1,modified_old_name1_school_level,modified_old_name1_root,modified_old_name2,modified_old_name2_school_level,modified_old_name2_root,district
1206,jhapa,anshu academy,,anshu academy,anshu academy,,anshu academy,duwagadi ansu academy,,duwagadi ansu academy,jhapa
1207,ilam,anshubarma avi,avi,anshubarma,anshubarma pravi,pravi,anshubarma,,,,ilam
1208,okhaldhunga,antarrastriya yuwabarsha avi,avi,antarrastriya yuwabarsha,antarrastriya yuvabarsha pravi,pravi,antarrastriya yuvabarsha,,,,okhaldhunga
1209,ilam,antu academy,,antu academy,,,,,,,ilam
1210,ilam,antu memorial ebs,,antu memorial ebs,antu memorial ebs,,antu memorial ebs,,,,ilam
1211,morang,anwarul islam madrassa,,anwarul islam madrassa,,,,,,,morang
1212,solukhumbu,apex academy,,apex academy,,,,,,,solukhumbu
1213,udayapur,apex academy english school,,apex academy english school,,,,,,,udayapur
1214,sunsari,apple montessori school,,apple montessori school,,,,,,,sunsari
1215,sunsari,apple tree academy,,apple tree academy,,,,,,,sunsari
1216,dhankuta,apsani brosis english school,,apsani brosis english school,,,,,,,dhankuta
1217,taplejung,araniko avi,avi,araniko,ariniko pravi,pravi,ariniko,,,,taplejung
1218,jhapa,araniko avi,avi,araniko,araniko pravi,pravi,araniko,araniko pravi,pravi,araniko,jhapa
1219,jhapa,araniko mavi bidhyalaya,mavi,araniko  bidhyalaya,araniko pravi,pravi,araniko,,,,jhapa
1220,sunsari,araniko memorial boarding school dharan,,araniko memorial boarding school dharan,,,,,,,sunsari
1221,morang,araniko memorial english school sunwarshi morang,,araniko memorial english school sunwarshi morang,araniko memorial ebs,,araniko memorial ebs,,,,morang
1222,tehrathum,araniko mavi english boarding school myanglung tehrathum,mavi,araniko  english boarding school myanglung tehrathum,,,,,,,tehrathum
1223,jhapa,araniko mavi,mavi,araniko,aroniko mavi,mavi,aroniko,,,,jhapa
1224,morang,arif husen avi madarasa,avi,arif husen  madarasa,arif husen madrassa,,arif husen madrassa,,,,morang
1225,morang,arihanta english boarding school,,arihanta english boarding school,,,,,,,morang
1226,jhapa,arjundhara academy,,arjundhara academy,,,,,,,jhapa
1227,jhapa,arjundhara sanskrit adarsha mavi arjundhara,mavi,arjundhara sanskrit adarsha  arjundhara,arjundhara sanskrit adarsha mavi,mavi,arjundhara sanskrit adarsha,,,,jhapa
1228,jhapa,arjundhara sanskrit bed bidhayapith,,arjundhara sanskrit bed bidhayapith,arjun dhara sanskrit bed bidhayapith,,arjun dhara sanskrit bed bidhayapith,,,,jhapa
1229,jhapa,arjundhara mavi arjundhara,mavi,arjundhara  arjundhara,arjundhara mavi,mavi,arjundhara,,,,jhapa
1230,jhapa,arkit academy,,arkit academy,,,,,,,jhapa
1231,morang,arniko mavi,mavi,arniko,,,,,,,morang
1232,morang,arpan english school,,arpan english school,,,,,,,morang
1233,jhapa,arpana english school,,arpana english school,,,,,,,jhapa
1234,okhaldhunga,arubhanjyang avi balakhu,avi,arubhanjyang  balakhu,,,,,,,okhaldhunga
1235,tehrathum,arubote bal bikash kendra,,arubote bal bikash kendra,arubote bbk,,arubote bbk,,,,tehrathum
1236,tehrathum,arubote avi musegaira,avi,arubote  musegaira,arubote pravi,pravi,arubote,,,,tehrathum
1237,bhojpur,arun avi,avi,arun,arun pravi,pravi,arun,,,,bhojpur
1238,bhojpur,arun avi,avi,arun,arun pravi,pravi,arun,arun pravi,pravi,arun,bhojpur
1239,sankhuwasabha,arun avi batase,avi,arun  batase,arun pravi batase,pravi,arun  batase,arun pravi,pravi,arun,sankhuwasabha
1240,sankhuwasabha,arun avi saldada,avi,arun  saldada,arun nimavi,nimavi,arun,,,,sankhuwasabha
1241,sankhuwasabha,arun avi bhotkhola,avi,arun  bhotkhola,arun pravi,pravi,arun,,,,sankhuwasabha
1242,bhojpur,arun ganga avi,avi,arun ganga,arun ganga pravi,pravi,arun ganga,,,,bhojpur
1243,sankhuwasabha,arun top ebs,,arun top ebs,,,,,,,sankhuwasabha
1244,sankhuwasabha,arun valley english school,,arun valley english school,arunvalley english school,,arunvalley english school,arunvalley ebs,,arunvalley ebs,sankhuwasabha
1245,sankhuwasabha,arun valley international ebs,,arun valley international ebs,,,,,,,sankhuwasabha
1246,sankhuwasabha,arun valley public school,,arun valley public school,arun valley boarding school khandbari sankhuwasabha,,arun valley boarding school khandbari sankhuwasabha,,,,sankhuwasabha
1247,bhojpur,arunkoshi avi,avi,arunkoshi,arunkoshi pravi,pravi,arunkoshi,,,,bhojpur
1248,jhapa,arunodaya avi,avi,arunodaya,,,,,,,jhapa
1249,panchthar,arunodaya avi,avi,arunodaya,arunodaya pravi,pravi,arunodaya,,,,panchthar
1250,morang,arunodaya avi biratnagar,avi,arunodaya  biratnagar,arunodaya avi,avi,arunodaya,,,,morang
1251,okhaldhunga,arunodaya avi gahate,avi,arunodaya  gahate,arunodaya pravi,pravi,arunodaya,,,,okhaldhunga
1252,jhapa,arunodaya avi arjundhara,avi,arunodaya  arjundhara,arunodaya avi,avi,arunodaya,arunodaya avi,avi,arunodaya,jhapa
1253,jhapa,arunodaya english boarding school,,arunodaya english boarding school,arunodaya ebs,,arunodaya ebs,,,,jhapa
1254,jhapa,arunodaya english boarding school,,arunodaya english boarding school,arunodaya awasiya mavi,mavi,arunodaya awasiya,arunodaya awasiya ebs,,arunodaya awasiya ebs,jhapa
1255,morang,arunodaya english boarding school,,arunodaya english boarding school,arunodaya ebs,,arunodaya ebs,,,,morang
1256,sankhuwasabha,arunodaya karmajyamu avi,avi,arunodaya karmajyamu,arunodaya pravi,pravi,arunodaya,,,,sankhuwasabha
1257,ilam,arunodaya pravi,pravi,arunodaya,,,,,,,ilam
1258,jhapa,arunodaya pravi,pravi,arunodaya,,,,,,,jhapa
1259,sankhuwasabha,arunodaya pravi,pravi,arunodaya,,,,,,,sankhuwasabha
1260,bhojpur,arunodaya pravi,pravi,arunodaya,arunodaya pravi,pravi,arunodaya,,,,bhojpur
