school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
6031,14409,pairathama,pairatham,avi,avi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
6036,5443,balakallyana,bal kalyan,pravi,pravi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
6038,12426,janapriya,jana priya,mavi,mavi,tehrathum,tehrathum,3.0,"District: complete, School level: complete, Root name: complete"
6039,15856,shiva,shiva,avi,avi,tehrathum,tehrathum,3.0,"District: complete, School level: complete, Root name: complete"
6041,54933,sarasvati,saraswati,pravi,pravi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
6042,12842,jese,jese,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
6043,14684,patle,patle,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
6047,52341,janata adarsha,janata adarsha,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
6051,3996,bhutanadevi,bhutan devi,mavi,mavi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
6058,16731,simha devi,singha devi,avi,avi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
6060,53529,mahatma buddha,mahatma buddha,mavi,mavi,rupandehi,rupandehi,3.0,"District: complete, School level: complete, Root name: complete"
