school_id_B,root_school_name_B,school_level_B,root_school_old_name1_B,root_school_old_name2_B,school_level_old_name2_B,school_level_old_name1_B,district_B,Fuzzy_match_score
31473,community english school,,community ebs,,,,chitwan,
31474,compac acadamy,,,,,,kavrepalanchok,
31475,conscience international academy,,,,,,kathmandu,
31476,constelation academic garden,,,,,,kathmandu,
31477,corona international school,,,,,,kathmandu,
31478,cosmic international academy,,,,,,kathmandu,
31479,covnent academy ebs,,,,,,lalitpur,
31480,cream learning ambience school,,,,,,kathmandu,
31481,creation academy,,,,,,kathmandu,
31482,creative academy,,,,,,kathmandu,
31483,creative ebs,,,,,,bhaktapur,
31484,creative hand,avi,,,,,lalitpur,
31485,creative learners' academy,,creative learners academy,,,,bhaktapur,
31486,creative model academy,,,,,,kathmandu,
31487,crescent academy english school,,crescent academy ebs,,,,lalitpur,
31488,crystal academy,,,,,,kathmandu,
31489,cupid childrens home academy,,,,,,kathmandu,
31490,dadha kharka,pravi,dadha kharka,,,pravi,nuwakot,
31491,dadhikot english,mavi,dadhikot ebs,,,,bhaktapur,
31492,dadhuwa,pravi,,,,,sindhupalchok,
31493,daduwa bhawani shankar,mavi,,,,,sindhupalchok,
31494,daffodil boarding school,,daffodil ebs,,,,kathmandu,
31495,daffodil public school,,daffodil ebs,,,,kathmandu,
31496,daha gaun,avi,daha gaun,,,pravi,bhaktapur,
31497,dahu,mavi,dahu,,,mavi,ramechhap,
31498,daisy educational academy,,,,,,kathmandu,
31499,daisy english boarding,mavi,daisy english boarding school chitwan,daisy awasiya ebs,,pravi,chitwan,
31500,dakchyata int'l school college,,purba paschim ebs,,,,kathmandu,
31501,dakschinkali,mavi,,,,,sindhupalchok,
31502,dakschinkali,pravi,,,,,makwanpur,
31503,daksha international,avi,,,,,bhaktapur,
31504,dakshin bindu awashiya,,dhaxin bindu,,,,kathmandu,
31505,dakshinakali,avi,dakschinkali,,,pravi,nuwakot,
31506,dakshinkali  bangthala,avi,dakschinkali basic schools bangthala,dakschinkali,pravi,,chitwan,
31507,dakshinkali,avi,dakshinkali,,,nimavi,sindhupalchok,
31508,dakshinkalika,pravi,,,,,chitwan,
31509,dallepokhari a v,,dallepokhari,,,avi,sindhupalchok,
31510,dallu awasiya ebs,,,,,,kathmandu,
31511,damaitar adharbhut biddyalaya,,damaitar,,,nimavi,lalitpur,
31512,dandagaun babike,,,,,,kavrepalanchok,
31513,dandagaun,mavi,dandagaun,dandagaun,mavi,mavi,rasuwa,
31514,dandakharka,mavi,shree dandakharka,danda kharka,mavi,mavi,dolakha,
31515,dandapati,avi,dandapati,dandapati,pravi,avi,bhaktapur,
31516,danfe,pravi,,,,,kavrepalanchok,
31517,danpha ebs,,,,,,lalitpur,
31518,dansing,mavi,dansing,,,mavi,nuwakot,
31519,dapcha,mavi,dapcha,dapcha,mavi,mavi,kavrepalanchok,
31520,darga,avi,darga,,,pravi,ramechhap,
31521,darim bote bal,pravi,,,,,kavrepalanchok,
31522,darshan academy,,darsan academy,,,,chitwan,
31523,darshana school,,,,,,kathmandu,
31524,dasharath chandra,mavi,dasharath chandra,,,mavi,dhading,
31525,dav sushil kedia vishwa bharati school,,dav sushil kediya,,,,lalitpur,
31526,dd rajan memorial english school,avi,kumai bidya mandir,,,,kathmandu,
31527,dawn academy bharatpur,,dawn academy baratpur,dawn academy,,,chitwan,
31528,daxin mahakali,avi,daxin mahakali,,,pravi,kathmandu,
31529,dear field academy,,,,,,kathmandu,
31530,debal dhunga  simtar,avi,debal dhunga,,,pravi,ramechhap,
31531,debishwar,avi,debishwar,,,pravi,ramechhap,
31532,decasa international montessori,avi,,,,,kathmandu,
31533,dechhenling gumba,,,,,,kavrepalanchok,
31534,dedithumka,mavi,dedithumka,dedithumka,mavi,mavi,kavrepalanchok,
31535,dedithumka,mavi,dedithumka,,,avi,kavrepalanchok,
31536,deep jyoti,avi,deep jyoti,,,pravi,sindhupalchok,
31537,deep jyoti ebs,,,,,,ramechhap,
31538,deep jyoti ebs,,,,,,chitwan,
31539,deep jyoti,pravi,,,,,chitwan,
31540,deep kunja english,mavi,deep kunja ebs,,,,lalitpur,
31541,deep mala ebs,,,,,,lalitpur,
31542,deep saraswati english,mavi,deep saraswati ebs,,,,bhaktapur,
31543,deepak,avi,deepak,,,pravi,makwanpur,
31544,deepika school,,dipika sikshya sadan,,,,kathmandu,
31545,deepjyoti awasiya,mavi,deep jyoti ebs,,,,kathmandu,
31546,deepjyoti boarding school,,,,,,makwanpur,
31547,deepshikha ebs,,,,,,kavrepalanchok,
31548,deepshikha ebs,,,,,,kavrepalanchok,
31549,deepshikha,mavi,dip shikha ebs,,,,kathmandu,
31550,delight ebs,,,,,,lalitpur,
31551,demos english school,,demose ebs,,,,bhaktapur,
31552,deneb academy,,danav international ebs,,,,kathmandu,
31553,densang  chayachuti,pravi,,,,,sindhuli,
31554,densh,mavi,densh,dens,mavi,mavi,bhaktapur,
31555,desh tilak memorial,mavi,desh tilak memorial ebs,,,,kathmandu,
31556,deudhunga,avi,deudhunga,,,pravi,dolakha,
31557,deudhunga,avi,deudhunga,,,pravi,sindhupalchok,
31558,deuja gaun,avi,deuja gaun bacis school,deuja gaun,avi,,bhaktapur,
31559,deulang khani,avi,deulang khani,,,pravi,dolakha,
31560,deupur,avi,deupur,,,pravi,kavrepalanchok,
31561,deurali,avi,,,,,dolakha,
31562,deurali,avi,deurali,,,pravi,lalitpur,
31563,deurali,avi,deurali,,,pravi,lalitpur,
31564,deurali,avi,deurali,,,pravi,dhading,
31565,deurali,avi,deurali,,,pravi,dhading,
31566,deurali,avi,deurali,,,pravi,dhading,
31567,deurali,avi,deurali,,,pravi,dhading,
31568,deurali dada bal bikash kendra,,deurali dada adhabhut bidyalaya,deurali dada,nimavi,,ramechhap,
31569,deurali english boarding school,,deurali ebs,,,,nuwakot,
31570,deurali,pravi,,,,,dolakha,
31571,deurali,pravi,,,,,sindhupalchok,
31572,deurali,pravi,,,,,sindhupalchok,
31573,deurali,pravi,,,,,kavrepalanchok,
31574,deurali,pravi,,,,,rasuwa,
