school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
721,sarasvati balakalyana,pravi,jhapa,
722,,pravi,dang,
723,gamga,mavi,dang,
724,phaijane mustapha,pravi,mustang,
725,shri pratapakota,pravi,dang,
726,,pravi,dang,
727,adarsha,avi,parsa,
728,shri,mavi,jhapa,
729,gudela,mavi,solukhumbu,
730,shamkheshvari,mavi,khotang,
731,ramcheniketana,mavi,khotang,
732,koteshvara sarasvati,mavi,kathmandu,
733,,pravi,dang,
734,guru jajura,mavi,bajura,
735,,pravi,kalikot,
736,balakalyana,avi,dang,
737,virendra,mavi,lalitpur,
738,himala laligura.nsa,pravi,solukhumbu,
739,pelu,pravi,khotang,
740,gauripa~nchakanya,avi,khotang,
742,janata,pravi,dang,
743,bhimasenasthana,nimavi,solukhumbu,
744,dudhakoshi,avi,solukhumbu,
745,janata,mavi,solukhumbu,
746,jalapakanya,avi,solukhumbu,
747,chandeshvari,pravi,solukhumbu,
748,chaskama,mavi,solukhumbu,
749,balakanya,nimavi,khotang,
750,simhadevi,avi,khotang,
751,patkaru,nimavi,khotang,
752,valeshvara,mavi,solukhumbu,
753,pa~nchakanya,pravi,solukhumbu,
754,tinadhare,pravi,khotang,
755,sarasvati,mavi,morang,
756,mahendrodaya,pravi,khotang,
757,naragrama,mavi,morang,
758,sota~na,avi,solukhumbu,
759,kuntadevi,pravi,solukhumbu,
760,mahamkala,pravi,khotang,
761,vidyodaya,mavi,khotang,
762,kalika,pravi,khotang,
763,dorpu,avi,solukhumbu,
764,varabota,avi,solukhumbu,
765,ma~njushri,pravi,solukhumbu,
766,siddhartha,pravi,solukhumbu,
767,sarasvati namuna,mavi,khotang,
768,jalakunda,avi,solukhumbu,
769,janaseva,pravi,solukhumbu,
770,jalpa,pravi,solukhumbu,
771,kalika devi,mavi,solukhumbu,
772,mamgala,pravi,khotang,
773,baraha,pravi,bara,
774,mahendra jyoti,mavi,solukhumbu,
775,shri shanti,nimavi,morang,
776,bhopu~na,pravi,solukhumbu,
777,jyoti,avi,morang,
778,taksindu,mavi,solukhumbu,
779,jana bahumukhi,pravi,khotang,
780,gamga devi,pravi,khotang,
781,adarsha milana,avi,solukhumbu,
782,kalika,mavi,okhaldhunga,
783,santati,avi,bhaktapur,
784,sagaramatha,mavi,solukhumbu,
785,amara shahida,pravi,khotang,
786,jalandhara,pravi,khotang,
787,janakalyana,pravi,solukhumbu,
788,chogesthana,mavi,solukhumbu,
789,shisha,pravi,solukhumbu,
790,janasamuha,pravi,khotang,
791,radhakrrishna,avi,bhaktapur,
792,junaveshi,mavi,solukhumbu,
793,basuki,pravi,solukhumbu,
794,mukli,avi,solukhumbu,
795,himalaya,mavi,solukhumbu,
796,j~nana vikasa,avi,bhaktapur,
797,shishu kalyana,avi,solukhumbu,
798,bageshvari,avi,solukhumbu,
799,chandrajyoti,avi,solukhumbu,
800,savitra,mavi,siraha,
801,sarasvati,mavi,sunsari,
802,dudhakoshi,avi,solukhumbu,
803,tinakanya,avi,solukhumbu,
804,indra,avi,solukhumbu,
805,toskhama,pravi,solukhumbu,
806,himalaya,nimavi,khotang,
807,dhanakanya,pravi,khotang,
808,rigelmu,avi,solukhumbu,
809,seti gaicha,avi,solukhumbu,
810,khidima,pravi,khotang,
811,jivana jyoti,mavi,solukhumbu,
812,janata,mavi,sunsari,
813,jivana jyoti,mavi,solukhumbu,
814,dudhakunda,pravi,solukhumbu,
815,bhagavati,avi,solukhumbu,
816,shushila devi,pravi,solukhumbu,
817,janata,mavi,siraha,
818,janajagrriti,mavi,solukhumbu,
819,himalaya,avi,solukhumbu,
820,sagaramatha,pravi,solukhumbu,
821,mahadeva,pravi,solukhumbu,
822,suntale,avi,khotang,
823,shanti,mavi,khotang,
824,shanti,mavi,khotang,
825,amarajyoti,avi,solukhumbu,
826,balajvati,pravi,solukhumbu,
827,mahendra tara,avi,khotang,
828,shanti niketana minakarna,mavi,khotang,
829,khumaju~na,mavi,solukhumbu,
830,himajvati,pravi,solukhumbu,
831,mamhakala,nimavi,khotang,
832,phulpuka,pravi,solukhumbu,
833,navajyoti,mavi,lalitpur,
834,bala vinayaka,avi,bhaktapur,
835,siddha,avi,solukhumbu,
836,simhakali,mavi,solukhumbu,
837,sagaramatha,avi,solukhumbu,
838,simhakali,mavi,solukhumbu,
839,janajagarana mahakunda,avi,solukhumbu,
840,,mavi,dang,
841,hulu,nimavi,solukhumbu,
842,kalika,nimavi,solukhumbu,
843,kedara,mavi,solukhumbu,
844,mahakulu,pravi,solukhumbu,
845,kuibhira,nimavi,solukhumbu,
846,janakalyana,pravi,khotang,
847,sakila,mavi,khotang,
848,bhumeshvara,pravi,solukhumbu,
849,vidyadatri,pravi,solukhumbu,
850,j~nana vijaya,avi,bhaktapur,
851,trivi,nimavi,solukhumbu,
852,jana jagrriti,pravi,jhapa,
853,shri hira,pravi,khotang,
854,janasaksharata,pravi,khotang,
855,patle,pravi,solukhumbu,
857,ri~namu,avi,solukhumbu,
858,phatanje,pravi,solukhumbu,
