school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
9045,74106,"श्री प्रभा धम्कोट माध्यमिक विद्यालय, अछाम",Shree Prabhadhamkot Secondary School,श्री प्रभा धम्कोट मावि,अछाम,69,Achham,7,Sudurpashchim,10,Dayagada,Sanfebagar Municipality
9051,71806,"जयपृथ्वी प्रा॰वि॰, बझाङ",Jayaprithvi Basic School,जयपृथ्वी प्रावि,बझाङ,71,Bajhang,7,Sudurpashchim,40,Jibali,Chhabispathivera Rural Municipality
12361,71806,"जयपृथ्वी प्रा॰ वि, बझाङ",Jayaprithvi Basic School,जयपृथ्वी प्रावि,बझाङ,71,Bajhang,7,Sudurpashchim,40,Jibali,Chhabispathivera Rural Municipality
9060,53538,"महेन्द्र उ॰ माध्यमिक विधालय, गुल्मी",Mahendra Basic School,महेन्द्र मावि,गुल्मी,51,Gulmi,5,Lumbini,223,Kwangdi,Chandrakot Rural Municipality
11976,53538,"महेन्द्र नि॰मा॰वि, गुल्मी",Mahendra Basic School,महेन्द्र निमावि,गुल्मी,51,Gulmi,5,Lumbini,223,Kwangdi,Chandrakot Rural Municipality
12148,53538,"महेन्द्र माध्यमिक विद्यालय, रेसुङ्गा, तम्घास, गुल्मी",Mahendra Basic School,महेन्द्र मावि,गुल्मी,51,Gulmi,5,Lumbini,223,Kwangdi,Chandrakot Rural Municipality
9061,7458,"भैरव नि॰मा॰वि, अछाम",Bhairab Basic School,भैरव निमावि,अछाम,69,Achham,7,Sudurpashchim,11,Turmakhand,Turmakhad Rural Municipality
9139,7458,"भैरव माध्यमिक विधालय, अछाम",Bhairab Basic School,भैरव मावि,अछाम,69,Achham,7,Sudurpashchim,11,Turmakhand,Turmakhad Rural Municipality
9067,4645,"विन्दिमण्डली प्राथमिक विद्यालय, स्याङ्जा",Binadi Mandali Basic School,विन्दिमण्डली प्रावि,स्याङ्जा,45,Syangja,4,Gandaki,739,Chapakot,Chapakot Municipality
25219,4645,"विनदी मण्डली प्रा॰ वि॰, स्याङजा",Binadi Mandali Basic School,विनदी मण्डली प्रावि,स्याङजा,45,Syangja,4,Gandaki,739,Chapakot,Chapakot Municipality
9073,61701,"कृष्ण माध्यमिक विधालय, सल्यान",Krishna Basic School,कृष्ण मावि,सल्यान,66,Salyan,6,Karnali,611,Khaharekhola,Bangad Kupinde Municipality
14436,61701,"कृष्ण माध्यमिक विद्यालय, पोखरीडाँडा झिम्पे, सल्यान",Krishna Basic School,कृष्ण मावि,सल्यान,66,Salyan,6,Karnali,611,Khaharekhola,Bangad Kupinde Municipality
9077,51756,"हरेवा प्रा॰वि॰, गुल्मी",Harewa Basic School,हरेवा प्रावि,गुल्मी,51,Gulmi,5,Lumbini,223,Harewa,Chandrakot Rural Municipality
19440,51756,"हरेवा निम्न माध्यमिक विद्यालय, हरेवा, चन्द्रकोट, गुल्मी",Harewa Basic School,हरेवा निमावि,गुल्मी,51,Gulmi,5,Lumbini,223,Harewa,Chandrakot Rural Municipality
